gene,pathway
ZC412.2,path:cel00230
ZK673.2,path:cel00230
ZK697.8,path:cel00230
ZK856.10,path:cel00230
ZK896.8,path:cel00230
ZK909.3,path:cel00230
ZK970.6,path:cel00230
F55B11.1,path:cel00232
B0001.4,path:cel00240
BE0003N10.1,path:cel00240
C03C10.3,path:cel00240
C06A1.5,path:cel00240
C15H11.8,path:cel00240
C25F6.3,path:cel00240
C26E6.4,path:cel00240
C29F7.3,path:cel00240
C36B1.3,path:cel00240
C42D4.8,path:cel00240
C47D2.2,path:cel00240
C47E12.8,path:cel00240
C48E7.2,path:cel00240
D2085.1,path:cel00240
F08B4.5,path:cel00240
F08C6.6,path:cel00240
F09F7.3,path:cel00240
F10C2.4,path:cel00240
F12F6.7,path:cel00240
F13H8.7,path:cel00240
F14B4.3,path:cel00240
F19G12.2,path:cel00240
F23B2.13,path:cel00240
F25H2.5,path:cel00240
F26F4.11,path:cel00240
F33H2.5,path:cel00240
F36A4.7,path:cel00240
F40F8.1,path:cel00240
F43E2.2,path:cel00240
F49E8.4,path:cel00240
F58A4.4,path:cel00240
F58A4.9,path:cel00240
H27M09.2,path:cel00240
H43I07.2,path:cel00240
K02D7.1,path:cel00240
K07A1.2,path:cel00240
K08H10.4,path:cel00240
R01H10.1,path:cel00240
R04F11.3,path:cel00240
R07E4.4,path:cel00240
R53.2,path:cel00240
T07C4.1,path:cel00240
T23G5.1,path:cel00240
T24C12.3,path:cel00240
T24C4.5,path:cel00240
W01G7.3,path:cel00240
W02D3.2,path:cel00240
W02D9.1,path:cel00240
W06E11.1,path:cel00240
W06H3.3,path:cel00240
W09C3.4,path:cel00240
Y10G11A.1,path:cel00240
Y110A7A.4,path:cel00240
Y37E3.3,path:cel00240
Y37H9A.6,path:cel00240
Y43C5A.5,path:cel00240
Y47D3A.29,path:cel00240
Y48E1A.1,path:cel00240
Y53F4B.3,path:cel00240
Y54E10BR.6,path:cel00240
Y71H10B.1,path:cel00240
Y77E11A.6,path:cel00240
Y97E10AR.5,path:cel00240
ZC395.7,path:cel00240
ZK643.2,path:cel00240
ZK783.2,path:cel00240
ZK856.10,path:cel00240
C14E2.2,path:cel00250
C14F11.1,path:cel00250
C28D4.3,path:cel00250
C32F10.8,path:cel00250
C37H5.6,path:cel00250
C44E4.3,path:cel00250
C45B2.5,path:cel00250
C47A10.5,path:cel00250
D2085.1,path:cel00250
DH11.1,path:cel00250
F07A11.2,path:cel00250
F18E3.7,path:cel00250
F22B3.4,path:cel00250
F25G6.6,path:cel00250
F26D10.10,path:cel00250
F30F8.2,path:cel00250
F45H10.1,path:cel00250
F56D12.1,path:cel00250
K03H1.1,path:cel00250
K04D7.3,path:cel00250
M02D8.4,path:cel00250
R06C7.5,path:cel00250
T01C8.5,path:cel00250
T04A8.5,path:cel00250
T09B4.8,path:cel00250
T14D7.1,path:cel00250
W07E11.1,path:cel00250
Y105C5B.28,path:cel00250
Y37D8A.23,path:cel00250
ZK829.4,path:cel00250
C05D11.11,path:cel00260
C12C8.2,path:cel00260
C13B9.2,path:cel00260
C15B12.1,path:cel00260
C31C9.2,path:cel00260
C34C6.4,path:cel00260
D1025.2,path:cel00260
F01F1.6,path:cel00260
F08F3.4,path:cel00260
F22B8.6,path:cel00260
F25B4.1,path:cel00260
F26H9.5,path:cel00260
F52A8.5,path:cel00260
F54A3.4,path:cel00260
F57B10.3,path:cel00260
K01C8.1,path:cel00260
LLC1.3,path:cel00260
R102.4,path:cel00260
R12C12.1,path:cel00260
T09B4.8,path:cel00260
T14D7.1,path:cel00260
T25B9.1,path:cel00260
Y51H7C.9,path:cel00260
Y62E10A.13,path:cel00260
Y69A2AR.5,path:cel00260
ZC373.1,path:cel00260
ZK1127.10,path:cel00260
B0228.7,path:cel00270
C06E7.1,path:cel00270
C06E7.3,path:cel00270
C12C8.2,path:cel00270
C14E2.2,path:cel00270
C14F11.1,path:cel00270
C17G1.7,path:cel00270
C44E4.3,path:cel00270
C49F5.1,path:cel00270
D2023.5,path:cel00270
E01A2.1,path:cel00270
F11G11.9,path:cel00270
F13D12.2,path:cel00270
F20H11.3,path:cel00270
F22B8.6,path:cel00270
F37B12.2,path:cel00270
F42D1.2,path:cel00270
F42F12.4,path:cel00270
F46E10.10,path:cel00270
F47G4.7,path:cel00270
F54A3.4,path:cel00270
F56F10.3,path:cel00270
F59A7.9,path:cel00270
H12D21.4,path:cel00270
K02A4.1,path:cel00270
K02F2.2,path:cel00270
K10H10.2,path:cel00270
M176.2,path:cel00270
R03D7.1,path:cel00270
T01C8.5,path:cel00270
T09B4.8,path:cel00270
T13A10.11,path:cel00270
Y44A6D.5,path:cel00270
Y46G5A.19,path:cel00270
ZC373.1,path:cel00270
